registro_uid,ano,data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,pdf_ordem,pdf_tipo,url,arquivo,baixado_json,pdf_uid,group_key,sample_score
2022_03211,2022,2022-08-04,DSP - DESPACHO 2098/2022,DSP,DESPACHO,2098/2022,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20222098ti.pdf,dsp20222098ti.pdf,True,2022_03211__1,,
2022_02265,2022,2022-09-13,DSP - DESPACHO 2434/2022,DSP,DESPACHO,2434/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Juízo de mérito,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20222434.pdf,dsp20222434.pdf,True,2022_02265__1,,
2022_01491,2022,2022-10-17,DSP - DESPACHO 2826/2022,DSP,DESPACHO,2826/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Juízo de mérito,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20222826ti.pdf,dsp20222826ti.pdf,True,2022_01491__1,DSP | Texto Integral,
2022_01352,2022,2022-10-21,DSP - DESPACHO 3033/2022,DSP,DESPACHO,3033/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20223033ti.pdf,dsp20223033ti.pdf,True,2022_01352__1,,
2022_03955,2022,2022-06-27,DSP - DESPACHO 1706/2022,DSP,DESPACHO,1706/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Negação,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/dsp20221706.pdf,dsp20221706.pdf,True,2022_03955__1,,
2022_03695,2022,2022-07-08,DSP - DESPACHO 1813/2022,DSP,DESPACHO,1813/2022,ANEEL,REVOGADA,1,Nulidade,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20221813.pdf,dsp20221813.pdf,True,2022_03695__1,,1.4002298322224775
2022_00131,2022,2022-12-20,DSP - DESPACHO 3602/2022,DSP,DESPACHO,3602/2022,SFE/ANEEL,REVOGADA,1,Redução,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20223602ti.pdf,dsp20223602ti.pdf,True,2022_00131__1,,1.4002298322224775
2022_04273,2022,2022-06-10,DSP - DESPACHO 1520/2022,DSP,DESPACHO,1520/2022,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Registro,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20221520.pdf,dsp20221520.pdf,True,2022_04273__1,,
2022_07279,2022,2022-01-18,DSP - DESPACHO 105/2022,DSP,DESPACHO,105/2022,SCG/ANEEL,REVOGADA,1,Vilson Marcos Testa,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp2022105ti.pdf,dsp2022105ti.pdf,True,2022_07279__1,,1.4002298322224775
2022_04859,2022,2022-05-12,DSP - DESPACHO 1201/2022,DSP,DESPACHO,1201/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Provimento parcial,PREENCHIDA,2,Voto,http://www2.aneel.gov.br/cedoc/adsp20221201_1.pdf,adsp20221201_1.pdf,True,2022_04859__2,DSP | Voto,
2022_01719,2022,2022-10-06,ECT - EXTRATO DE CONTRATO 012/2022,ECT,EXTRATO DE CONTRATO,012/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/ect2022012_3.pdf,ect2022012_3.pdf,True,2022_01719__1,,
2022_01720,2022,2022-10-06,ECT - EXTRATO DE CONTRATO 013/2022,ECT,EXTRATO DE CONTRATO,013/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/ect2022013_3.pdf,ect2022013_3.pdf,True,2022_01720__1,ECT | Texto Integral,
2022_02716,2022,2022-08-26,INA - INSTRUÇÃO ADMINISTRATIVA 002/2022,INA,INSTRUÇÃO ADMINISTRATIVA,002/2022,SGI/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Prevenção,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/ina2022002sgi.pdf,ina2022002sgi.pdf,True,2022_02716__1,,1.3333333333333333
2022_00039,2022,2022-12-29,OFC - OFÍCIO 117/2022,OFC,OFÍCIO,117/2022,CEL/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/ofc2022117cel.pdf,ofc2022117cel.pdf,True,2022_00039__1,OFC | Texto Integral,
2022_01186,2022,2022-11-01,OFC - OFÍCIO 075/2022,OFC,OFÍCIO,075/2022,CEL/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Ofício,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/ofc2022075cel.pdf,ofc2022075cel.pdf,True,2022_01186__1,,1.1666666666666667
2022_01398,2022,2022-10-20,PRI - PORTARIA INTERMINISTERIAL 003/2022,PRI,PORTARIA INTERMINISTERIAL,003/2022,MME/MMA,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Criação,NULL,1,Texto Integral,https://www2.aneel.gov.br/cedoc/pri2022003.pdf,pri2022003.pdf,True,2022_01398__1,,1.4111111111111112
2022_06389,2022,2022-03-09,PRT - PORTARIA 1238/2022,PRT,PORTARIA,1238/2022,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/prt20221238tispde.pdf,prt20221238tispde.pdf,True,2022_06389__1,,
2022_06571,2022,2022-02-22,PRT - PORTARIA 6723/2022,PRT,PORTARIA,6723/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,NULL,1,Texto Integral,https://www2.aneel.gov.br/cedoc/prt20226723.pdf,prt20226723.pdf,True,2022_06571__1,,
2022_07238,2022,2022-01-20,PRT - PORTARIA 1167/2022,PRT,PORTARIA,1167/2022,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/prt20221167tispde.pdf,prt20221167tispde.pdf,True,2022_07238__1,PRT | Texto Integral,
2022_02116,2022,2022-09-22,PRT - PORTARIA 286/2022,PRT,PORTARIA,286/2022,ANEEL,REVOGADA,1,Comissão Especial de Licitação,NULL,1,Texto Integral,https://www2.aneel.gov.br/cedoc/prt2022286.pdf,prt2022286.pdf,True,2022_02116__1,,1.2006557377049178
2022_05797,2022,2022-04-05,PRT - PORTARIA 637/2022,PRT,PORTARIA,637/2022,MME,REVOGADA,1,Comissão Permanente para Análise de Metodologias e Programas Computacionais do Setor Elétrico,NULL,1,Texto Integral,https://www2.aneel.gov.br/cedoc/prt2022637mme.pdf,prt2022637mme.pdf,True,2022_05797__1,,1.700655737704918
2022_06373,2022,2022-03-10,PRT - PORTARIA 623/2022,PRT,PORTARIA,623/2022,MME,REVOGADA,1,Comitê Setorial de Monitoramento do Suprimento Nacional de Combustíveis e Biocombustíveis,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/prt2022623mme.pdf,prt2022623mme.pdf,True,2022_06373__1,,1.400655737704918
2022_03605,2022,2022-07-14,PRT - PORTARIA 664/2022,PRT,PORTARIA,664/2022,MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Construção,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/prt2022664mme.pdf,prt2022664mme.pdf,True,2022_03605__1,,1.0006557377049181
2022_04431,2022,2022-06-03,PRT - PORTARIA 151/2022,PRT,PORTARIA,151/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Exoneração,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/prt2022151.pdf,prt2022151.pdf,True,2022_04431__1,,
2022_01726,2022,2022-10-06,PRT - PORTARIA 1686/2022,PRT,PORTARIA,1686/2022,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Montante de energia,NULL,1,Texto Integral,https://www2.aneel.gov.br/cedoc/prt20221686spde.pdf,prt20221686spde.pdf,True,2022_01726__1,,1.3006557377049182
2022_02116,2022,2022-09-22,PRT - PORTARIA 286/2022,PRT,PORTARIA,286/2022,ANEEL,REVOGADA,1,Comissão Especial de Licitação,NULL,2,Voto,https://www2.aneel.gov.br/cedoc/aprt2022286_1.pdf,aprt2022286_1.pdf,True,2022_02116__2,,1.2006557377049178
2022_06526,2022,2022-02-25,REA - RESOLUÇÃO AUTORIZATIVA 11217/2022,REA,RESOLUÇÃO AUTORIZATIVA,11217/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/rea202211217ti.pdf,rea202211217ti.pdf,True,2022_06526__1,,
2022_01779,2022,2022-10-05,REA - RESOLUÇÃO AUTORIZATIVA 12782/2022,REA,RESOLUÇÃO AUTORIZATIVA,12782/2022,ANEEL,REVOGADA,1,Autorização,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/rea202212782ti.pdf,rea202212782ti.pdf,True,2022_01779__1,,
2022_00983,2022,2022-11-17,REA - RESOLUÇÃO AUTORIZATIVA 13039/2022,REA,RESOLUÇÃO AUTORIZATIVA,13039/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/rea202213039ti.pdf,rea202213039ti.pdf,True,2022_00983__1,REA | Texto Integral,
2022_00748,2022,2022-11-25,REA - RESOLUÇÃO AUTORIZATIVA 13076/2022,REA,RESOLUÇÃO AUTORIZATIVA,13076/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Voto,https://www2.aneel.gov.br/cedoc/area202213076_1.pdf,area202213076_1.pdf,True,2022_00748__2,,
2022_05341,2022,2022-04-26,REA - RESOLUÇÃO AUTORIZATIVA 11573/2022,REA,RESOLUÇÃO AUTORIZATIVA,11573/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,2,Voto,https://www2.aneel.gov.br/cedoc/area202211573_1.pdf,area202211573_1.pdf,True,2022_05341__2,REA | Voto,
2022_00213,2022,2022-12-16,REH - RESOLUÇÃO HOMOLOGATÓRIA 3164/2022,REH,RESOLUÇÃO HOMOLOGATÓRIA,3164/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,3,Nota Técnica,https://www2.aneel.gov.br/cedoc/nreh20223164.pdf,nreh20223164.pdf,True,2022_00213__3,,
2022_03638,2022,2022-07-13,REH - RESOLUÇÃO HOMOLOGATÓRIA 3064/2022,REH,RESOLUÇÃO HOMOLOGATÓRIA,3064/2022,ANEEL,SUSPENSA,0,Homologação,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/reh20223064ti.pdf,reh20223064ti.pdf,True,2022_03638__1,,
2022_03374,2022,2022-07-29,REH - RESOLUÇÃO HOMOLOGATÓRIA 3080/2022,REH,RESOLUÇÃO HOMOLOGATÓRIA,3080/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Homologação,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/reh20223080ti.pdf,reh20223080ti.pdf,True,2022_03374__1,REH | Texto Integral,
2022_05766,2022,2022-04-07,REH - RESOLUÇÃO HOMOLOGATÓRIA 3019/2022,REH,RESOLUÇÃO HOMOLOGATÓRIA,3019/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Prorrogação,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/reh20223019ti.pdf,reh20223019ti.pdf,True,2022_05766__1,,
2022_00878,2022,2022-11-22,REH - RESOLUÇÃO HOMOLOGATÓRIA 3138/2022,REH,RESOLUÇÃO HOMOLOGATÓRIA,3138/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Homologação,PREENCHIDA,2,Voto,https://www2.aneel.gov.br/cedoc/areh20223138_1.pdf,areh20223138_1.pdf,True,2022_00878__2,,
2022_04322,2022,2022-06-09,REO - RESOLUÇÕES OUTRAS 239/2022,REO,RESOLUÇÕES OUTRAS,239/2022,CPPI/ME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Deliberação,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/res2022239cppi.pdf,res2022239cppi.pdf,True,2022_04322__1,,1.1111111111111112
2022_03223,2022,2022-08-04,REO - RESOLUÇÕES OUTRAS 006/2022,REO,RESOLUÇÕES OUTRAS,006/2022,Conselho Nacional de Política Energética,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Programa Nacional do Hidrogênio,NULL,1,Texto Integral,http://www2.aneel.gov.br/cedoc/res2022006cnpe.pdf,res2022006cnpe.pdf,True,2022_03223__1,,1.4111111111111112
2022_03201,2022,2022-08-05,RES - RESOLUÇÃO CONJUNTA 127/2022,RES,RESOLUÇÃO CONJUNTA,127/2022,ANEEL/ANA,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/res2022127cjti.pdf,res2022127cjti.pdf,True,2022_03201__1,,1.0031347962382444
2022_05545,2022,2022-04-18,DEC - DECRETO/2022,SEM_MATCH,SEM_MATCH,SEM_MATCH,PR,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Recondução,NULL,1,Texto Integral,https://www2.aneel.gov.br/cedoc/dec2022sn73A_4.pdf,dec2022sn73A_4.pdf,True,2022_05545__1,,1.3083333333333333
